date,orders,gross,discounts,refunds,net,shipping,taxes
2023-08-23,2,165.64,-13.90,0,151.74,10.12,0
2023-08-25,1,139.00,0,0,139.00,6.60,0
2023-08-26,3,219.00,0,0,219.00,11.15,4.27
2023-08-27,2,101.97,-4.99,0,96.98,9.46,0
2023-08-28,1,139.00,0,0,139.00,6.78,0
2023-08-30,1,139.00,0,0,139.00,6.60,0
2023-08-31,3,307.99,-13.90,0,294.09,17.23,0
2023-09-01,15,444.18,-19.39,0,424.79,64.30,13.19
2023-09-02,8,223.38,0,0,223.38,49.00,0
2023-09-03,4,377.49,-19.27,0,358.22,25.82,12.17
2023-09-05,2,164.00,-16.40,0,147.60,11.47,2.15
2023-09-06,3,182.99,-4.40,0,178.59,17.07,0
2023-09-07,2,19.96,0,0,19.96,8.03,0
2023-09-09,1,168.99,-16.90,0,152.09,8.55,0
2023-09-12,1,139.00,-13.90,0,125.10,7.05,0
2023-09-13,2,139.00,0,0,139.00,8.22,0
2023-09-15,1,139.00,0,0,139.00,5.93,10.78
2023-09-16,2,49.99,0,0,49.99,8.87,2.33
2023-09-17,3,560.00,-42.10,0,517.90,26.49,16.61
2023-09-20,2,170.76,-15.30,0,155.46,14.11,0
2023-09-21,1,44.99,-4.50,0,40.49,5.85,3.14
2023-09-22,10,194.95,-1.40,0,193.55,44.00,0
2023-09-23,2,27.96,0,-26.64,1.32,7.56,0
2023-09-24,3,108.98,0,0,108.98,13.86,0
2023-09-25,1,139.00,0,0,139.00,10.85,0
2023-09-28,2,217.98,-17.80,0,200.18,10.59,3.60
2023-09-29,1,25.00,0,0,25.00,5.04,0
2023-10-03,1,0,0,0,0,0,0
2023-10-05,2,78.36,0,0,78.36,8.57,0
2023-10-07,1,30.00,0,0,30.00,16.77,0
2023-10-09,2,297.99,0,0,297.99,19.39,0
2023-10-10,1,8.88,0,0,8.88,4.13,0
2023-10-13,2,30.00,0,0,30.00,10.07,0
2023-10-14,1,33.99,0,0,33.99,4.69,2.98
2023-10-15,2,18.88,0,0,18.88,8.03,0
2023-10-16,1,19.99,0,0,19.99,4.88,0
2023-10-18,2,35.00,-3.00,0,32.00,8.19,0.49
2023-10-21,1,8.88,-0.89,0,7.99,4.13,0
2023-10-25,1,165.00,-16.50,0,148.50,10.07,0
2023-10-27,2,0,0,0,0,0,0
2023-10-28,1,100.00,0,0,100.00,0,0
2023-10-31,1,0,0,0,0,0,0
2023-11-02,1,5.00,-0.50,0,4.50,4.13,0
2023-11-03,1,189.00,0,0,189.00,10.85,0
2023-11-04,2,49.99,-2.00,0,47.99,9.77,0
2023-11-05,2,28.85,0,0,28.85,22.69,0
2023-11-06,1,14.00,0,0,14.00,4.13,0
2023-11-07,5,335.88,-29.60,0,306.28,19.95,0
2023-11-10,3,39.92,0,0,39.92,11.36,1.74
2023-11-11,2,68.88,-2.90,0,65.98,8.05,0
2023-11-12,3,194.94,0,0,194.94,14.70,0
2023-11-16,1,165.00,-16.50,0,148.50,5.93,11.51
2023-11-17,1,10.00,0,0,10.00,3.66,0.86
2023-11-24,1,178.00,-17.80,0,160.20,6.78,0
2023-11-25,2,163.00,0,0,163.00,9.14,0
2023-11-26,1,165.00,-16.50,0,148.50,6.78,0
2023-11-27,1,19.96,0,0,19.96,4.13,0
2023-12-06,0,0,0,-160.20,-160.20,-6.44,0
2023-12-07,1,0,0,0,0,0,0
2023-12-08,1,20.00,0,0,20.00,3.90,0
2023-12-09,1,165.00,0,0,165.00,6.78,0
2023-12-11,1,138.00,0,0,138.00,38.10,0
2023-12-18,1,165.00,0,0,165.00,6.44,0
2023-12-21,1,14.00,0,0,14.00,4.13,0
2024-01-05,1,165.00,0,0,165.00,9.43,0
2024-01-08,1,178.00,-17.80,0,160.20,5.52,14.01
2024-01-10,23,1396.00,0,0,1396.00,136.31,60.01
2024-01-11,10,338.50,0,0,338.50,55.71,6.22
2024-01-12,24,941.00,0,0,941.00,131.46,39.43
2024-01-13,7,242.50,0,0,242.50,44.07,2.48
2024-01-14,5,274.50,0,0,274.50,32.54,0
2024-01-15,7,488.50,0,0,488.50,47.79,26.75
2024-01-16,9,358.50,0,0,358.50,49.71,9.55
2024-01-17,10,452.02,0,0,452.02,73.51,13.02
2024-01-18,3,393.00,0,0,393.00,58.26,12.79
2024-01-21,2,230.00,0,0,230.00,9.74,17.84
2024-01-27,1,3750.00,0,0,3750.00,0,0
2024-01-29,1,9.00,0,0,9.00,3.96,0.65
2024-01-30,1,175.00,0,0,175.00,8.52,0
2024-01-31,5,258.46,0,0,258.46,21.73,13.59
2024-02-01,4,142.96,0,0,142.96,21.41,0
2024-02-02,1,165.00,0,0,165.00,6.16,0
2024-02-03,7,259.50,0,0,259.50,34.06,2.59
2024-02-04,8,305.00,0,0,305.00,42.15,0
2024-02-05,5,225.00,0,0,225.00,22.31,0.78
2024-02-06,2,185.00,0,0,185.00,10.19,1.56
2024-02-13,2,57.98,0,0,57.98,9.36,0
2024-02-14,1,24.50,0,0,24.50,4.47,0
2024-02-15,1,165.00,0,0,165.00,6.33,0
2024-02-16,1,138.00,0,0,138.00,3.86,13.12
2024-02-23,1,4.50,0,0,4.50,4.55,0
2024-02-26,1,10.00,0,0,10.00,3.96,0.73
2024-02-28,1,0,0,0,0,0,0
2024-03-01,1,165.00,0,0,165.00,6.33,0
2024-03-02,3,79.00,0,0,79.00,15.82,0
2024-03-03,1,9.00,0,0,9.00,4.68,0
2024-03-07,3,34.50,0,0,34.50,9.62,0
2024-03-08,3,208.98,0,0,208.98,15.02,1.48
2024-03-14,2,30.00,0,0,30.00,5.45,0
2024-03-16,4,262.99,0,0,262.99,20.35,0
2024-03-18,2,267.00,0,0,267.00,9.43,0
2024-03-19,2,1645.00,0,0,1645.00,3.96,0
2024-03-22,1,165.00,0,0,165.00,6.33,0
2024-03-24,5,439.00,0,0,439.00,26.08,5.70
2024-03-25,1,65.00,0,0,65.00,4.36,0
2024-03-26,9,350.00,0,0,350.00,35.66,11.22
2024-03-27,15,708.50,0,0,708.50,64.07,5.44
2024-03-28,5,175.00,0,0,175.00,20.81,3.11
2024-03-29,3,100.00,0,0,100.00,12.17,4.34
2024-03-30,2,70.00,0,0,70.00,7.63,5.79
2024-03-31,4,153.50,0,0,153.50,17.10,3.51
2024-04-01,1,165.00,0,0,165.00,6.09,0
2024-04-02,3,535.00,0,0,535.00,3.84,3.33
2024-04-06,1,165.00,0,0,165.00,6.33,0
2024-04-07,2,40.00,0,0,40.00,9.98,0
2024-04-08,1,165.00,0,0,165.00,10.07,0
2024-04-09,1,165.00,0,0,165.00,10.07,0
2024-04-10,1,165.00,0,0,165.00,5.80,0
2024-04-11,7,152.99,0,0,152.99,25.91,4.88
2024-04-12,1,0,0,0,0,0,0
2024-04-13,8,329.30,0,0,329.30,37.62,1.31
2024-04-16,1,10.00,0,0,10.00,0,0.79
2024-04-17,1,250.00,0,0,250.00,0,0
2024-04-20,6,323.49,0,0,323.49,21.66,5.51
2024-04-21,2,138.00,0,0,138.00,7.68,11.04
2024-04-22,2,182.50,0,0,182.50,10.21,0.35
2024-04-23,3,105.00,0,0,105.00,6.46,0
2024-04-25,1,165.00,0,0,165.00,6.09,0
2024-04-27,1,0,0,0,0,0,0
2024-04-29,2,343.00,0,0,343.00,11.68,12.79
2024-05-01,11,1289.00,0,0,1289.00,58.90,31.08
2024-05-02,1,175.00,0,0,175.00,5.52,13.57
2024-05-03,1,175.00,0,0,175.00,6.33,0
2024-05-04,1,175.00,0,0,175.00,5.52,13.57
2024-05-06,3,219.50,0,0,219.50,14.34,17.94
2024-05-07,2,205.00,0,0,205.00,12.44,14.44
2024-05-08,1,0,0,0,0,0,0
2024-05-09,1,175.00,0,0,175.00,6.23,0
2024-05-12,1,175.00,0,0,175.00,5.52,17.51
2024-05-15,4,60.00,0,0,60.00,17.59,0
2024-05-16,5,370.00,0,0,370.00,23.99,0
2024-05-17,3,605.00,0,0,605.00,23.89,0
2024-05-19,6,885.00,0,0,885.00,33.96,31.20
2024-05-20,1,175.00,0,0,175.00,6.09,0
2024-05-24,1,175.00,0,0,175.00,5.52,13.57
2024-05-25,2,38.00,0,0,38.00,9.51,0
2024-05-26,1,165.00,0,0,165.00,6.09,0
2024-05-31,2,330.00,0,0,330.00,12.42,0
2024-06-02,1,20.00,0,0,20.00,4.36,0
2024-06-06,3,90.04,0,0,90.04,21.35,0
2024-06-16,1,175.00,0,0,175.00,9.21,0
2024-06-20,2,0,0,0,0,0,0
2024-06-25,23,994.59,0,0,994.59,107.88,8.63
2024-06-26,8,274.91,-26.00,0,248.91,35.46,5.75
2024-06-27,2,39.99,0,0,39.99,9.98,0
2024-06-28,2,71.93,0,0,71.93,9.73,0
2024-06-29,5,188.41,-5.95,0,182.46,21.14,7.68
2024-06-30,3,119.99,0,0,119.99,15.71,0
2024-07-01,1,70.00,0,0,70.00,4.36,0
2024-07-02,2,65.98,0,0,65.98,9.36,0
2024-07-03,2,70.00,0,0,70.00,8.72,0
2024-07-05,1,35.00,0,0,35.00,5.32,0
2024-07-11,1,0,0,0,0,0,0
2024-07-16,2,1200.00,0,0,1200.00,4.19,0
2024-07-19,1,13.99,0,0,13.99,4.47,0
2024-08-01,1,650.00,0,0,650.00,4.02,0
2024-08-02,1,221.00,0,0,221.00,3.86,0
2024-08-05,3,30.94,0,0,30.94,12.78,0
2024-08-06,2,175.98,0,0,175.98,8.24,0.79
2024-08-07,1,9.98,0,0,9.98,4.36,0
2024-08-09,4,64.91,0,0,64.91,17.08,0
2024-08-10,1,500.00,0,0,500.00,0,0
2024-08-15,5,59.96,0,0,59.96,20.83,1.60
2024-08-16,1,19.96,0,0,19.96,3.96,0
2024-08-17,2,14.99,0,0,14.99,7.97,0
2024-08-19,1,10.00,0,0,10.00,3.96,0.95
2024-08-22,8,884.96,0,0,884.96,46.35,30.06
2024-08-24,1,165.00,0,0,165.00,5.52,12.79
2024-08-29,1,307.99,0,0,307.99,6.66,0
2024-08-30,2,174.49,0,0,174.49,11.34,0
2024-08-31,2,330.00,0,0,330.00,11.75,12.79
2024-09-03,2,322.96,0,0,322.96,10.50,12.25
2024-09-05,1,0,0,0,0,0,0
2024-09-07,15,192.50,0,0,192.50,66.89,5.51
2024-09-10,1,10.00,0,0,10.00,4.11,0
2024-09-12,1,0,0,0,0,0,0
2024-09-17,1,0,0,0,0,0,0
2024-09-19,1,70.00,0,0,70.00,4.69,0
2024-09-21,17,1003.00,0,0,1003.00,103.67,14.08
2024-09-23,3,208.00,0,0,208.00,18.06,0
2024-09-24,2,105.00,-8.40,0,96.60,9.38,8.42
2024-09-28,1,70.00,0,0,70.00,4.69,0
2024-10-01,1,0,0,0,0,0,0
2024-10-02,7,411.50,0,0,411.50,44.31,9.97
2024-10-04,1,35.00,0,0,35.00,4.69,0
2024-10-07,1,70.00,0,0,70.00,4.69,0
2024-10-30,1,0,0,0,0,0,0
2024-11-01,1,37.50,0,0,37.50,9.06,0
2024-11-09,2,0,0,0,0,0,0
2024-11-22,1,148.00,0,0,148.00,0,0
2024-11-23,0,0,0,-42.41,-42.41,0,0
2024-12-08,1,35.00,0,0,35.00,4.69,0
2024-12-13,1,68.00,0,0,68.00,6.52,5.96
2024-12-24,1,2.50,0,0,2.50,4.37,0
2024-12-27,0,0,0,-80.48,-80.48,0,0
2025-02-05,0,0,0,9.98,9.98,-6.52,-5.96
2025-02-07,28,1450.67,0,0,1450.67,157.61,32.14
2025-02-08,9,351.92,0,0,351.92,47.46,7.50
2025-02-09,1,50.99,0,0,50.99,5.80,0
2025-02-10,11,523.89,-17.49,0,506.40,60.06,12.59
2025-05-23,1,198.00,0,0,198.00,0,0
2025-05-31,1,198.00,0,0,198.00,0,0
2025-06-09,1,14.97,0,0,14.97,4.84,0
2025-06-11,2,24.95,0,0,24.95,9.68,0
2025-06-12,1,19.96,0,0,19.96,4.84,0
2025-06-14,8,276.40,0,0,276.40,66.88,0.72
2025-06-15,1,34.99,0,0,34.99,5.80,0
2025-06-16,2,84.98,0,0,84.98,11.60,0
2025-06-17,1,0,0,0,0,0,0
2025-06-19,4,154.95,0,0,154.95,25.51,0
2025-06-21,2,49.97,0,0,49.97,10.15,3.93
2025-06-23,1,9.98,0,0,9.98,4.57,0
2025-06-25,1,0,0,0,0,0,0
2025-07-04,29,1109.71,-23.50,0,1086.21,151.63,13.12
2025-07-05,3,149.97,-4.00,0,145.97,13.06,8.34
2025-07-07,5,194.93,-3.50,0,191.43,23.26,2.18
2025-07-08,8,466.54,0,0,466.54,66.94,0
2025-07-09,13,499.92,-18.00,0,481.92,71.07,0
2025-07-11,4,134.99,0,0,134.99,19.61,2.92
2025-07-12,4,144.99,-7.00,0,137.99,22.89,0
2025-07-13,2,230.00,-23.00,0,207.00,15.33,0
2025-07-14,2,119.98,-4.50,0,115.48,12.93,0
2025-07-15,1,30.00,0,0,30.00,4.80,0
2025-07-16,1,65.00,0,0,65.00,5.83,0
2025-07-17,5,269.99,-78.49,0,191.50,27.69,12.91
2025-07-18,12,514.97,-20.00,0,494.97,63.72,22.03
2025-07-23,1,0,0,0,0,0,0
2025-07-24,1,9.99,0,0,9.99,5.02,0
2025-08-29,1,4.99,0,0,4.99,4.74,0
2025-09-02,1,9.99,0,0,9.99,4.89,0
2025-10-21,1,9.99,0,0,9.99,5.37,0
2025-10-27,1,0,0,0,0,0,0
2026-04-04,1,33.00,0,0,33.00,4.49,0
2026-04-08,5,165.00,0,0,165.00,29.95,0
2026-04-09,1,33.00,0,0,33.00,4.49,0
2026-04-20,3,199.95,0,0,199.95,29.97,3.10
2026-04-24,1,33.00,0,0,33.00,4.49,2.73
2026-05-01,9,324.91,-10.99,0,313.92,60.73,14.43
2026-05-02,2,140.00,-3.50,0,136.50,10.88,12.82
2026-05-03,2,84.97,0,0,84.97,11.94,0
2026-05-04,2,70.00,-3.50,0,66.50,11.45,2.72
2026-05-05,2,70.00,0,0,70.00,11.94,0
2026-05-06,6,320.00,-24.00,0,296.00,33.79,2.45
2026-05-08,4,209.93,-7.49,0,202.44,27.33,1.92
2026-05-09,2,68.00,0,0,68.00,9.89,0
2026-05-12,2,0,0,0,0,0,0
2026-05-30,1,39.99,0,0,39.99,9.99,0
2026-07-08,0,0,0,-45.96,-45.96,0,0
2026-07-30,1,0,0,0,0,0,0
2026-07-31,1,0,0,0,0,0,0
2026-08-06,1,39.99,0,0,39.99,9.99,0
