product,gross,net,orders
(untitled / deleted products),16718.84,16249.76,246
THE CREEDSMAN BELT,8051.00,7932.00,51
WW/SDV FANCY BELT,3850.00,3850.00,22
THE WORKSHOP LIFTER,3073.00,3017.39,19
LOCAL SEALIFE SUN SHIRT,1786.65,1693.88,46
LOCAL SEALIFE TEE,1470.00,1393.49,43
JACKPOT TEE,1365.00,1365.00,37
DEAD COWBOY TEE,1050.00,1050.00,33
SUBSURFACE EXPEDITIONS TEE,1049.70,1049.70,25
DROWN PROOF TEE - BLACK,910.00,881.29,23
WW AFP BAG,827.04,827.04,12
SUBSURFACE EXPEDITIONS LONG SLEEVE TEE,804.77,787.28,21
DEAD COWBOY HOODIE,651.02,651.02,12
PANO NODS LAPEL PIN,640.76,636.98,56
TIDE HEART TEE,540.00,540.00,18
MP7 LAPEL PIN,532.98,530.98,47
GRATEFUL TED TEE,525.61,525.61,14
DEAD RECKONING TEE BLACK - WW x HOO DOGGY,525.00,511.00,13
DROWN PROOF TEE -  PINK,490.00,490.00,14
CORE TEE,480.00,480.00,16
LEGALIZE TEE,450.00,450.00,15
DEAD RECKONING TEE WHITE - WW x HOO DOGGY,385.00,364.01,10
WW WAFFLE BEANIE,347.88,347.88,12
LEGALIZE HOODIE,300.00,300.00,6
WAVEBOLT PUFF TRUCKER,297.00,297.00,9
